repName	subfamily
HERVK14-int	HERVK14
LTR14A	HERVK14
LTR14B	HERVK14
HERVK-int	HERVK
LTR5	HERVK
LTR5A	HERVK
LTR5B	HERVK
LTR5_Hs	HERVK
HERVK9-int	HERVK9
MER9a1	HERVK9
MER9a2	HERVK9
MER9a3	HERVK9
MER9B	HERVK9
HERVK13-int	HERVK13
LTR13	HERVK13
LTR13A	HERVK13
HERVK22-int	HERVK22
LTR22	HERVK22
LTR22A	HERVK22
LTR22B	HERVK22
LTR22B1	HERVK22
LTR22B2	HERVK22
LTR22C	HERVK22
LTR22C0	HERVK22
LTR22C2	HERVK22
LTR22E	HERVK22
HERVK3-int	HERVK3
LTR3	HERVK3
LTR3A	HERVK3
LTR3B	HERVK3
LTR3B_	HERVK3
HERVK11-int	HERVK11
MER11A	HERVK11
MER11B	HERVK11
MER11C	HERVK11
HERVK11D-int	HERVK11D
MER11D	HERVK11D
HERVKC4-int	HERVKC4
LTR14	HERVKC4
HERVK14C-int	HERVK14C
LTR14C	HERVK14C
HERV17-int	HERV17
LTR17	HERV17
HERV9-int	HERV9
LTR12	HERV9
LTR12B	HERV9
LTR12C	HERV9
LTR12D	HERV9
LTR12E	HERV9
LTR12F	HERV9
LTR12_	HERV9
HERV30-int	HERV30
LTR30	HERV30
HERVE-int	HERVE
LTR2	HERVE
LTR2B	HERVE
LTR2C	HERVE
HERVE_a-int	HERVE_a
LTR2	HERVE_a
LTR2B	HERVE_a
LTR2C	HERVE_a
HERV-Fc1-int	HERV-Fc1
HERV-Fc1_LTR1	HERV-Fc1
HERV-Fc1_LTR2	HERV-Fc1
HERV-Fc1_LTR3	HERV-Fc1
HERV-Fc2-int	HERV-Fc2
HERV-Fc2_LTR	HERV-Fc2
HERVFH19-int	HERVFH19
LTR19A	HERVFH19
LTR19B	HERVFH19
HERVFH21-int	HERVFH21
LTR21A	HERVFH21
LTR21B	HERVFH21
LTR21C	HERVFH21
MER50-int	MER50
MER50	MER50
MER50B	MER50
MER50C	MER50
HERVH-int	HERVH
LTR7	HERVH
LTR7A	HERVH
LTR7B	HERVH
LTR7C	HERVH
LTR7Y	HERVH
HERVH48-int	HERVH48
MER48	HERVH48
HERVI-int	HERVI
LTR10A	HERVI
LTR10B	HERVI
LTR10B1	HERVI
LTR10B2	HERVI
LTR10C	HERVI
LTR10D	HERVI
LTR10E	HERVI
LTR10F	HERVI
LTR10G	HERVI
HERVIP10F-int	HERVIP10F
LTR10A	HERVIP10F
LTR10B	HERVIP10F
LTR10B1	HERVIP10F
LTR10B2	HERVIP10F
LTR10C	HERVIP10F
LTR10D	HERVIP10F
LTR10E	HERVIP10F
LTR10F	HERVIP10F
LTR10G	HERVIP10F
HERVIP10FH-int	HERVIP10FH
LTR10A	HERVIP10FH
LTR10B	HERVIP10FH
LTR10B1	HERVIP10FH
LTR10B2	HERVIP10FH
LTR10C	HERVIP10FH
LTR10D	HERVIP10FH
LTR10E	HERVIP10FH
LTR10F	HERVIP10FH
LTR10G	HERVIP10FH
HERVL-int	HERVL
MLT2A1	HERVL
MLT2A2	HERVL
MLT2B1	HERVL
MLT2B2	HERVL
MLT2B3	HERVL
MLT2B4	HERVL
MLT2B5	HERVL
HERVL18-int	HERVL18
LTR18A	HERVL18
LTR18B	HERVL18
LTR18C	HERVL18
HERVL32-int	HERVL32
LTR32	HERVL32
HERVL40-int	HERVL40
LTR40a	HERVL40
LTR40b	HERVL40
LTR40c	HERVL40
LTR40A1	HERVL40
HERVL66-int	HERVL66
LTR66	HERVL66
HERVL74-int	HERVL74
MER74A	HERVL74
MER74B	HERVL74
MER74C	HERVL74
ERVL-int	ERVL
MLT2B1	ERVL
MLT2B2	ERVL
MLT2B3	ERVL
MLT2B4	ERVL
MLT2B5	ERVL
MLT2D	ERVL
ERVL-B4-int	ERVL-B4
MLT2B1	ERVL-B4
MLT2B2	ERVL-B4
MLT2B3	ERVL-B4
MLT2B4	ERVL-B4
MLT2B5	ERVL-B4
MLT2C1	ERVL-B4
MLT2C2	ERVL-B4
MLT2D	ERVL-B4
MLT2F	ERVL-B4
ERVL-E-int	ERVL-E
MLT2D	ERVL-E
MLT2E	ERVL-E
MLT2F	ERVL-E
HERV3-int	HERV3
LTR4	HERV3
LTR61	HERV3
LTR76	HERV3
HERV4_I-int	HERV4_I
MER51A	HERV4_I
MER51B	HERV4_I
MER51C	HERV4_I
MER51D	HERV4_I
MER51E	HERV4_I
HERVP71A-int	HERVP71A
LTR71A	HERVP71A
LTR71B	HERVP71A
HERVS71-int	HERVS71
LTR6A	HERVS71
LTR6B	HERVS71
PABL_A-int	PABL_A
PABL_A	PABL_A
PABL_B-int	PABL_B
PABL_B	PABL_B
MER4-int	MER4
MER4A	MER4
MER4A1	MER4
MER4A1_	MER4
MER4B	MER4
MER4C	MER4
MER4B-int	MER4B
MER4B	MER4B
MER4D	MER4B
MER4D0	MER4B
MER4D1	MER4B
MER4E	MER4B
MER4E1	MER4B
MER34B-int	MER34B
MER34	MER34B
MER34B	MER34B
MER34C	MER34B
MER34C2	MER34B
MER34C_	MER34B
MER41-int	MER41
MER41A	MER41
MER41B	MER41
MER41C	MER41
MER61-int	MER61
MER61A	MER61
MER61B	MER61
MER61C	MER61
MER61D	MER61
MER101-int	MER101
MER101	MER101
MER101B	MER101
MER65A	MER101
PRIMA4-int	PRIMA4
PRIMA4_LTR	PRIMA4
MER4A	PRIMA4
PRIMA41-int	PRIMA41
MER41C	PRIMA41
MER41D	PRIMA41
MER41E	PRIMA41
PRIMAX-int	PRIMAX
LTR24	PRIMAX
LTR24B	PRIMAX
LTR24C	PRIMAX
LTR19-int	LTR19
LTR19A	LTR19
LTR19B	LTR19
LTR19C	LTR19
LTR23-int	LTR23
LTR23	LTR23
LTR24	LTR23
LTR25-int	LTR25
LTR25	LTR25
LTR46-int	LTR46
LTR46	LTR46
LTR57-int	LTR57
LTR57	LTR57
ERV3-16A3_I-int	ERV3-16A3_I
ERV3-16A3_LTR	ERV3-16A3_I
LTR16	ERV3-16A3_I
LTR16A	ERV3-16A3_I
LTR16A1	ERV3-16A3_I
LTR16A2	ERV3-16A3_I
LTR16B	ERV3-16A3_I
LTR16B1	ERV3-16A3_I
LTR16B2	ERV3-16A3_I
LTR16C	ERV3-16A3_I
LTR16E1	ERV3-16A3_I
LTR16E2	ERV3-16A3_I
Harlequin-int	Harlequin
LTR2	Harlequin
LTR2B	Harlequin
HUERS-P1-int	HUERS-P1
LTR8	HUERS-P1
LTR8A	HUERS-P1
HUERS-P2-int	HUERS-P2
LTR1	HUERS-P2
LTR1A1	HUERS-P2
LTR1A2	HUERS-P2
LTR1B	HUERS-P2
LTR1C	HUERS-P2
LTR1C1	HUERS-P2
LTR1D	HUERS-P2
LTR1E	HUERS-P2
LTR1F	HUERS-P2
LTR1F1	HUERS-P2
HUERS-P3-int	HUERS-P3
LTR9	HUERS-P3
LTR9A1	HUERS-P3
LTR9B	HUERS-P3
LTR9C	HUERS-P3
LTR9D	HUERS-P3
HUERS-P3b-int	HUERS-P3b
LTR9	HUERS-P3b
LTR9A1	HUERS-P3b
LTR9B	HUERS-P3b
LTR9C	HUERS-P3b
LTR9D	HUERS-P3b
