"module","trait","cor","n_gene","hub_gene","GO","GO_padj"
"black","herv_HERVL.int; herv_HERVK9.int; herv_HERVK.int; herv_HERVK22.int; herv_HERVK13.int; herv_HERV17.int; herv_HERVK14.int; AD_binary; herv_HERVK3.int; herv_HERVH.int; herv_HERVE.int; herv_HERVK11.int; herv_HERV3.int; herv_HERV.Fc1.int","-0.128; -0.102; -0.079; -0.077; -0.071; -0.064; -0.058; 0.055; -0.052; -0.036; -0.033; -0.02; 0.014; -0.003",130,"MT-CO3; MT-CO1; MT-CO2; MT-ND4; MT-RNR2; MT-ND3; MT-ND1; MT-CYB; MT-ND2; MT-ATP6; MT-RNR1; MT-ND5; PHYHIP; MT-ND4L; GRIN1; LY6H; PSD; DNAJB2; CAMK2A; PDZD4; CHD5; ZBTB7A; ADGRB2; MAPK11; PPFIA3; KIFC2; ACAP3; DPP7; NPTXR; MT-ATP8","presynapse; synaptic membrane; neuron to neuron synapse; postsynaptic density; monoatomic ion channel complex; asymmetric synapse; postsynaptic specialization; transmembrane transporter complex; presynaptic cytosol; postsynaptic density membrane; transporter complex; cell cortex; excitatory synapse; cation channel complex; postsynaptic specialization membrane; NuRD complex; CHD-type complex; cytosolic region; intermediate filament; ionotropic glutamate receptor complex; neurotransmitter receptor complex; Z disc; postsynaptic density, intracellular component; I band; dendritic spine; neuron spine; sodium channel complex; cell surface; postsynaptic specialization, intracellular component; sarcolemma","0.0540445053174035; 0.0540445053174035; 0.0540445053174035; 0.0540445053174035; 0.0540445053174035; 0.0632400879320382; 0.0791387845877504; 0.0817294945968557; 0.0865027381547227; 0.0865027381547227; 0.091684417451906; 0.131393266530056; 0.131393266530056; 0.131393266530056; 0.131393266530056; 0.131393266530056; 0.131393266530056; 0.131393266530056; 0.13476216529227; 0.13476216529227; 0.13476216529227; 0.167152532384565; 0.167152532384565; 0.181409807359455; 0.187737948266156; 0.187737948266156; 0.187737948266156; 0.187737948266156; 0.189992102967662; 0.189992102967662"
"blue","herv_HERVL.int; herv_HERVK9.int; herv_HERVH.int; herv_HERVK22.int; herv_HERVK14.int; herv_HERVK11.int; herv_HERVK.int; herv_HERV17.int; herv_HERVK3.int; herv_HERVK13.int; AD_binary; herv_HERV3.int; herv_HERVE.int; herv_HERV.Fc1.int","0.227; 0.225; 0.176; 0.148; 0.132; 0.126; 0.121; 0.121; 0.105; 0.102; -0.072; 0.063; 0.047; -0.004",528,"ADGRB3; NRG3; RALYL; PDE4D; NALF1; FGF14; NRXN1; CSMD1; KHDRBS2; DLG2; PTPRD; ANKS1B; RIMS2; NAV3; MAGI2; NKAIN2; LRRC7; CSMD3; CADM2; FRMD4A; KALRN; CCSER1; AGBL4; MDGA2; CNTNAP2; NEGR1; GRM5; LINC-PINT; FGF12; KCNQ5","synaptic membrane; postsynaptic membrane; postsynaptic specialization membrane; pericentriolar material; neuron to neuron synapse; cell-cell junction; postsynaptic specialization; asymmetric synapse; bicellular tight junction; postsynaptic density; tight junction; apical junction complex; postsynaptic density membrane; cation channel complex; monoatomic ion channel complex; T-tubule; plasma membrane protein complex; dendrite; dendritic tree; glutamatergic synapse; sarcolemma; presynaptic membrane; presynaptic active zone; voltage-gated calcium channel complex; calcium channel complex; GABA-ergic synapse; centriolar satellite; centriole; neuromuscular junction; potassium channel complex","2.44323784210154e-06; 0.000188703998540136; 0.00060057254872719; 0.000664970798706944; 0.000664970798706944; 0.000988570636593962; 0.00125464596378803; 0.00191037498804458; 0.00191037498804458; 0.00191037498804458; 0.00312251027079163; 0.00432594239405878; 0.00432594239405878; 0.00432594239405878; 0.00432594239405878; 0.00491361402008219; 0.00967702426723139; 0.0160485018637345; 0.0160485018637345; 0.0160485018637345; 0.0160485018637345; 0.0237029477497391; 0.024189620170391; 0.024189620170391; 0.0251461690026338; 0.0262006391888981; 0.026619905060634; 0.0454941978661114; 0.046700420340196; 0.046700420340196"
"red","herv_HERVH.int; herv_HERV3.int; herv_HERVL.int; herv_HERVK.int; herv_HERVK13.int; herv_HERVE.int; herv_HERV17.int; AD_binary; herv_HERVK14.int; herv_HERVK22.int; herv_HERVK9.int; herv_HERVK11.int; herv_HERVK3.int; herv_HERV.Fc1.int","0.095; 0.072; -0.062; -0.053; -0.047; -0.039; -0.031; 0.031; -0.027; -0.024; -0.022; -0.013; 0.007; -0.004",153,"FAIM2; NRGN; THY1; NCDN; CLU; EEF1A2; CKB; HSP90AB1; ENO2; SYN1; PPP2R1A; TSPYL1; SNCB; PRKAR1B; SLC17A7; YPEL3; FKBP8; DNM1; JUND; CEND1; BSG; CTXN1; AP2M1; TUBB4A; TMEM59L; SELENOW; NPTX1; TPI1; PEA15; MAP1B","presynapse; cell body; clathrin-coated vesicle membrane; neuronal cell body; synaptic vesicle; transport vesicle; axon; exocytic vesicle; glutamatergic synapse; dendrite; dendritic tree; endocytic vesicle membrane; coated vesicle membrane; clathrin vesicle coat; transport vesicle membrane; vacuolar membrane; lysosomal membrane; lytic vacuole membrane; distal axon; perikaryon; synaptic vesicle membrane; exocytic vesicle membrane; endocytic vesicle; postsynaptic density; neuron to neuron synapse; asymmetric synapse; clathrin-coated vesicle; clathrin coat; main axon; postsynaptic specialization","4.68217423908675e-07; 0.000201854092842885; 0.000367702631069554; 0.000866076441041447; 0.000932585028028859; 0.000932585028028859; 0.000932585028028859; 0.000932585028028859; 0.000932585028028859; 0.00119826735171874; 0.00119826735171874; 0.00126514346234527; 0.00129746532930335; 0.00145930656953933; 0.00155512591853873; 0.00185374061511987; 0.00192645151991622; 0.00192645151991622; 0.00232183323431791; 0.0027234388499021; 0.00332665673039529; 0.00332665673039529; 0.00332665673039529; 0.00332665673039529; 0.00402326975234997; 0.00476128292091223; 0.00476128292091223; 0.00551417381752735; 0.00647072068470948; 0.00671568396082742"
"turquoise","herv_HERVL.int; herv_HERVH.int; herv_HERVK11.int; herv_HERVK9.int; herv_HERVK22.int; herv_HERVK.int; herv_HERVK3.int; herv_HERV3.int; herv_HERV17.int; herv_HERVK14.int; herv_HERVE.int; herv_HERVK13.int; AD_binary; herv_HERV.Fc1.int","0.173; 0.173; 0.145; 0.111; 0.085; 0.082; 0.059; 0.056; 0.051; 0.051; 0.049; 0.041; -0.032; -0.002",744,"CBLN2; DGKB; PDZD2; HS6ST3; CDH9; GRIA4; RASGRF2; SYN3; ENSG00000229618; TANC2; KCTD16; ATRNL1; CDH18; SIPA1L1; KCND2; IL1RAPL1; ROBO1; GALNTL6; LINC02306; TMEM178B; TESPA1; EPHA6; PPFIA2; PLEKHA5; CACNB2; NTRK3; CHRM3; PTPRO; DAB1; LINC01378","receptor complex; plasma membrane protein complex; plasma membrane signaling receptor complex; postsynaptic membrane; postsynaptic density membrane; synaptic membrane; dendrite; dendritic tree; asymmetric synapse; neuron to neuron synapse; anchoring junction; postsynaptic specialization membrane; postsynaptic density; dendritic spine; neuron spine; postsynaptic specialization; cell-cell junction; protein complex involved in cell adhesion; excitatory synapse; supramolecular polymer; monoatomic ion channel complex; supramolecular fiber; glutamatergic synapse; cell leading edge; Schaffer collateral - CA1 synapse; myosin complex; ionotropic glutamate receptor complex; neurotransmitter receptor complex; lamellipodium; external side of plasma membrane","8.2611809440725e-08; 9.21069009832197e-05; 0.00011488182921196; 0.000279453922744083; 0.000499229261520454; 0.000499229261520454; 0.000499229261520454; 0.000499229261520454; 0.000772197962451417; 0.00107102265607568; 0.00107102265607568; 0.0018883125057102; 0.00204454482123022; 0.003126048553632; 0.00327034243044691; 0.00561633977013533; 0.00942737335373745; 0.0128176322868908; 0.0174520859629343; 0.0185123622820397; 0.0221482440480249; 0.0275765999056518; 0.0344031959800802; 0.0350568067121908; 0.0350955630166422; 0.0350955630166422; 0.0350955630166422; 0.0350955630166422; 0.0413930615976436; 0.0436634987164496"
"yellow","herv_HERVH.int; herv_HERV3.int; herv_HERVK3.int; herv_HERVE.int; herv_HERVK9.int; herv_HERVK.int; AD_binary; herv_HERVK13.int; herv_HERVL.int; herv_HERVK11.int; herv_HERVK22.int; herv_HERV17.int; herv_HERV.Fc1.int; herv_HERVK14.int","0.124; 0.078; 0.036; -0.036; 0.03; -0.03; -0.024; -0.022; -0.013; -0.011; 0.009; -0.007; -0.006; 0.002",348,"CALM1; ACTB; CALM3; EIF4A2; ATP1B1; TSPAN7; TUBA1B; SERINC1; YWHAG; NORAD; CHN1; PNMA2; PKM; UCHL1; HSP90AA1; RAB3A; GAPDH; PSAP; PEBP1; PCSK1N; TMSB10; PRNP; YWHAH; STMN1; GDI1; RGS4; CFL1; KLC1; GNAS; ATP6V1B2","cytosolic large ribosomal subunit; cytosolic ribosome; respiratory chain complex; ribosomal subunit; large ribosomal subunit; ribosome; cytochrome complex; proton-transporting two-sector ATPase complex; transmembrane transporter complex; transporter complex; mitochondrial envelope; secretory vesicle; mitochondrial membrane; oxidoreductase complex; mitochondrial inner membrane; organelle inner membrane; cation-transporting ATPase complex; secretory granule; axon; melanosome; pigment granule; ATPase dependent transmembrane transport complex; ficolin-1-rich granule; presynapse; vacuole; ribonucleoprotein complex; proton-transporting ATP synthase complex; proton-transporting V-type ATPase complex; clathrin-coated vesicle membrane; focal adhesion","1.63753802624508e-14; 1.63753802624508e-14; 2.93762216065089e-14; 5.82418185789614e-12; 2.14163837503601e-10; 8.80252815333151e-10; 8.80252815333151e-10; 8.80252815333151e-10; 2.07697893968783e-09; 2.78785463996405e-09; 8.02390409714531e-09; 1.7185629168243e-08; 3.68030580743143e-08; 4.64327987124226e-08; 1.11249027962707e-07; 5.48494345075157e-07; 5.74248237115459e-07; 8.2599016853296e-07; 9.14060938921479e-07; 1.02310647913078e-06; 1.02310647913078e-06; 1.8231752000851e-06; 2.65215824055753e-06; 6.32647088412847e-06; 1.2251699794068e-05; 2.34395523117119e-05; 2.89349101296266e-05; 4.66075592063614e-05; 4.66075592063614e-05; 8.87912513574065e-05"
"brown","herv_HERVK9.int; herv_HERVL.int; herv_HERVK14.int; herv_HERV17.int; herv_HERVK22.int; herv_HERVH.int; herv_HERVK13.int; herv_HERVK3.int; herv_HERVK.int; herv_HERV3.int; herv_HERVK11.int; herv_HERVE.int; herv_HERV.Fc1.int; AD_binary","0.168; 0.108; 0.101; 0.098; 0.098; 0.082; 0.078; 0.075; 0.058; 0.05; 0.011; 0.006; 0.001; 0",452,"FOXP2; RORB; PTPRT; IL1RAPL2; POU6F2; CASC15; LINC03000; HTR1F; TOX; SLC35F1; FSTL5; NRG1; CLSTN2; ENSG00000253693; GRM3; TSHZ2; CPNE4; SLC44A5; CNTN5; GABRG3; DCC; SATB1-AS1; CACNB4; PCLO; RXFP1; FMN1; MYRIP; DPY19L1; GRIP1; PTCHD4","postsynaptic membrane; monoatomic ion channel complex; external encapsulating structure; extracellular matrix; dendritic tree; synaptic membrane; dendrite; collagen-containing extracellular matrix; glutamatergic synapse; presynapse; basement membrane; plasma membrane protein complex; neuron to neuron synapse; postsynaptic specialization; asymmetric synapse; collagen trimer; postsynaptic density; axon; axon terminus; presynaptic membrane; potassium channel complex; transporter complex; transmembrane transporter complex; cation channel complex; voltage-gated potassium channel complex; cell surface; sarcolemma; sarcoplasm; receptor complex; node of Ranvier","0.00739011600541099; 0.00739011600541099; 0.00739011600541099; 0.00739011600541099; 0.0123783606331628; 0.0171116938072248; 0.0171116938072248; 0.0171116938072248; 0.0323253761037401; 0.0323253761037401; 0.0369798343468051; 0.0369798343468051; 0.0369798343468051; 0.0432102000809265; 0.0442563282902718; 0.0469339683291277; 0.0469339683291277; 0.0542356069277633; 0.0561375145915039; 0.0561375145915039; 0.0570178823318316; 0.0581754998254485; 0.0581754998254485; 0.0581754998254485; 0.0805611380795138; 0.0805611380795138; 0.083361534996158; 0.083361534996158; 0.0886725095767459; 0.0928201025068566"
"green","herv_HERVL.int; herv_HERVK9.int; herv_HERVH.int; herv_HERVK22.int; herv_HERVK.int; herv_HERV17.int; herv_HERVK14.int; herv_HERVK3.int; herv_HERVK11.int; herv_HERVK13.int; herv_HERV3.int; AD_binary; herv_HERVE.int; herv_HERV.Fc1.int","0.245; 0.222; 0.197; 0.145; 0.14; 0.126; 0.119; 0.115; 0.111; 0.101; 0.074; -0.063; 0.041; 0.001",247,"TARBP1; UNC80; CCDC91; SLC12A2-DT; ICA1; LRRC28; DNAAF9; CYRIB; FAM135A; CHD6; INVS; MICU2; VEZT; TASP1; MAP4K3-DT; AGTPBP1; VPS8; RCOR3; ENSG00000255910; TTC39C; RNF13; TRPC1; TTC8; ZNF248; SUMF1; USP15; SCFD1; JAK1; GPATCH2; TMEM241","axoneme; ciliary plasm; intraciliary transport particle; cilium; ciliary transition zone; manchette; Golgi cis cisterna; intraciliary transport particle B; exon-exon junction complex; ciliary tip; replication fork; endoribonuclease complex; endonuclease complex; plasma membrane bounded cell projection cytoplasm; transcription factor TFIID complex; nuclear replication fork; sperm flagellum; cis-Golgi network; peroxisomal membrane; microbody membrane; microtubule organizing center; ciliary basal body; collagen trimer; vesicle tethering complex; mitochondrial intermembrane space; 9+2 motile cilium; Golgi cisterna membrane; cytoplasmic region; photoreceptor connecting cilium; SAGA-type complex","0.608806108390646; 0.608806108390646; 0.608806108390646; 0.608806108390646; 0.896569479308031; 0.947203353806103; 0.947203353806103; 0.947203353806103; 0.947203353806103; 0.947203353806103; 0.947203353806103; 0.947203353806103; 0.947203353806103; 0.947203353806103; 0.947203353806103; 0.947203353806103; 0.947203353806103; 0.947203353806103; 0.947203353806103; 0.947203353806103; 0.947203353806103; 0.947203353806103; 0.947203353806103; 0.947203353806103; 0.947203353806103; 0.947203353806103; 0.950657940597153; 0.999770532107547; 0.999770532107547; 0.999770532107547"
"magenta","herv_HERVL.int; herv_HERVK9.int; herv_HERVH.int; herv_HERVK22.int; herv_HERVK.int; herv_HERVK11.int; herv_HERVK3.int; herv_HERV17.int; herv_HERVK14.int; herv_HERVK13.int; herv_HERV3.int; herv_HERVE.int; AD_binary; herv_HERV.Fc1.int","0.226; 0.208; 0.202; 0.145; 0.118; 0.116; 0.11; 0.11; 0.109; 0.09; 0.076; 0.042; -0.034; -0.005",61,"UBR3; BIRC6; PPP1R12A; WDFY3; C2CD5; MAP4K3; RASA2; BRAF; TNKS; EXOC6; TNPO1; PHF14; LYST; MON2; SH3GL3; SETD5; MYO6; SLC41A2; YTHDC2; ASXL3; REPS1; PAN3; TENT2; XRN1; ARAP2; UVRAG; ODF2L; MAP4K5; LRRFIP2; RFX7","Flemming body; autophagosome; exocyst; ruffle membrane; cell projection membrane; microtubule organizing center; motile cilium; non-motile cilium; cell cortex; midbody; microvillus; chromosomal region; ciliary membrane; autophagosome membrane; centrosome; actin-based cell projection; cilium; ruffle; vesicle tethering complex; leading edge membrane; clathrin-coated pit; P-body; filopodium; chromosome, centromeric region; filamentous actin; autolysosome; transcription preinitiation complex; dynein axonemal particle; growth cone; secondary lysosome","0.0795755812591798; 0.214126381724436; 0.214126381724436; 0.313510515598966; 0.313510515598966; 0.313510515598966; 0.313510515598966; 0.313510515598966; 0.313510515598966; 0.313510515598966; 0.313510515598966; 0.313510515598966; 0.356368987940304; 0.395885741347977; 0.460994657729023; 0.460994657729023; 0.514295497658463; 0.516285314027744; 0.516285314027744; 0.516618193759732; 0.516618193759732; 0.516618193759732; 0.516618193759732; 0.516618193759732; 0.516618193759732; 0.516618193759732; 0.516618193759732; 0.516618193759732; 0.516618193759732; 0.516618193759732"
"pink","herv_HERVK9.int; herv_HERVL.int; herv_HERVH.int; herv_HERVK22.int; herv_HERVK14.int; herv_HERVK11.int; herv_HERVK.int; herv_HERV17.int; herv_HERVK13.int; herv_HERVK3.int; herv_HERV3.int; herv_HERVE.int; AD_binary; herv_HERV.Fc1.int","0.203; 0.194; 0.177; 0.144; 0.114; 0.109; 0.104; 0.101; 0.093; 0.091; 0.079; 0.047; -0.006; -0.002",74,"GDAP1; SSBP2; SOS1; FUT9; HIBCH; ENSG00000293321; PPM1E; DUBR; DENND5B; ATP2C1; NR3C1; FAM95B1; UBR2; CHPT1; MIR2052HG; DPH6-DT; ENSG00000291293; SLC5A4-AS1; ENSG00000294497; TMEM135; ENSG00000297079; ENSG00000295954; ATF6; KANSL1L; TNFSF13B; SEM1; ENSG00000224905; KMT2E-AS1; ENSG00000269237; TTC28-AS1","peroxisomal membrane; microbody membrane; peroxisome; microbody; protein acetyltransferase complex; acetyltransferase complex; NSL complex; synaptonemal complex; synaptonemal structure; astrocyte projection; integrator complex; proteasome regulatory particle; proteasome accessory complex; GTPase complex; transcription regulator complex; glial cell projection; Golgi membrane; ATPase dependent transmembrane transport complex; protein folding chaperone complex; condensed nuclear chromosome; H4 histone acetyltransferase complex; small-subunit processome; cis-Golgi network; lipid droplet; trans-Golgi network; Golgi cisterna membrane; proteasome complex; preribosome; endoplasmic reticulum protein-containing complex; nuclear pore","0.043895279799925; 0.043895279799925; 0.0996221817208583; 0.0996221817208583; 0.536437821432317; 0.536437821432317; 0.536437821432317; 0.536437821432317; 0.536437821432317; 0.536437821432317; 0.536437821432317; 0.552670506727379; 0.552670506727379; 0.552670506727379; 0.552670506727379; 0.552670506727379; 0.552670506727379; 0.552670506727379; 0.552670506727379; 0.552670506727379; 0.634783980871515; 0.698547889770353; 0.698547889770353; 0.698547889770353; 0.698547889770353; 0.707967393339522; 0.721676109234135; 0.721676109234135; 0.721676109234135; 0.721676109234135"
"purple","herv_HERVL.int; herv_HERVK9.int; herv_HERVH.int; herv_HERV17.int; herv_HERVK22.int; herv_HERVK11.int; herv_HERVK13.int; herv_HERVK3.int; herv_HERVK14.int; AD_binary; herv_HERVK.int; herv_HERV3.int; herv_HERVE.int; herv_HERV.Fc1.int","0.153; 0.125; 0.098; 0.079; 0.075; 0.075; 0.073; 0.068; 0.066; -0.06; 0.048; 0.038; 0.014; 0",52,"LAMA2; NTNG1; ENSG00000229425; COL5A2; RMST; PTPRK; HDAC9; ENSG00000286610; MAST4; OLFM3; ENSG00000288902; SEMA6D; ANO3; TCERG1L; L3MBTL4; SYNPR; ENSG00000290482; CARMIL1; LPP; OSBPL3; CDH8; NOL4; PARP8; ANTXR2; LINC02296; OTOGL; PLCL1; RHOBTB1; SHROOM3; FAM13A","synaptic cleft; external encapsulating structure; extracellular matrix; basement membrane; actin cytoskeleton; collagen-containing extracellular matrix; adherens junction; apical plasma membrane; apical part of cell; presynaptic active zone; filamentous actin; M band; Schaffer collateral - CA1 synapse; filopodium tip; perinuclear endoplasmic reticulum; protein complex involved in cell adhesion; A band; catenin complex; neuronal cell body membrane; collagen trimer; AMPA glutamate receptor complex; cell body membrane; endoplasmic reticulum lumen; cell-cell junction; cell surface; presynaptic active zone membrane; endoplasmic reticulum tubular network; condensed nuclear chromosome; ionotropic glutamate receptor complex; neurotransmitter receptor complex","0.205012822937846; 0.205012822937846; 0.205012822937846; 0.290911180490771; 0.291832723900541; 0.30052295815115; 0.336350908855927; 0.40850153076496; 0.611962063468832; 0.611962063468832; 0.611962063468832; 0.611962063468832; 0.611962063468832; 0.611962063468832; 0.611962063468832; 0.611962063468832; 0.611962063468832; 0.611962063468832; 0.611962063468832; 0.611962063468832; 0.611962063468832; 0.611962063468832; 0.611962063468832; 0.611962063468832; 0.611962063468832; 0.611962063468832; 0.611962063468832; 0.611962063468832; 0.611962063468832; 0.611962063468832"
