"subcluster","brown_score_1","red_score_1","blue_score_1","yellow_score_1","green_score_1","turquoise_score_1"
"0",-0.0986926602366199,-0.0682331022007568,0.108171809580203,1.33120590376577,-0.0473695247125546,0.0699865372004413
"1",-0.0434906699822484,0.0243652310711963,0.0410525770994998,1.21494679117214,-0.0455243280990624,0.0662641181947266
"2",-0.083274379534755,-0.075586905765361,0.080487466490451,1.35661949368547,-0.0473999628514597,0.095563611134766
"3",-0.131742025752444,-0.117827111056946,0.104768026496082,1.34316552272184,-0.0724409305899576,0.0946352117904059
"4",-0.0883064513743374,-0.0750565389739295,0.108305795044241,1.23343654082909,-0.0521377820624959,0.0751452808623278
"5",-0.0634005143933182,-0.0445217768640238,0.0875105501063048,1.30963570657272,-0.0364774326609605,0.0693538705440506
"6",-0.0860344506214621,-0.0728149202527436,0.0608702751232708,1.35240387637333,-0.0728897876868897,0.112445327150387
"7",-0.0358936045484666,-0.0461327473661482,0.0346690778150908,1.22665198099108,-0.0173480948769309,0.0918285917520958
"8",-0.106856330064282,-0.112272217970344,0.0988539871901986,1.35703566927542,-0.0528120232049205,0.0871486017096808
"9",-0.0655890592770865,0.00582106875666574,0.0645606762732792,1.2306543299246,-0.0555524754745984,0.0736821825657161
