"subcluster","black_score_1","blue_score_1","red_score_1","turquoise_score_1","yellow_score_1","brown_score_1","green_score_1","magenta_score_1","pink_score_1","purple_score_1"
"0",0.196237934724346,0.608088420794622,0.0126173061340031,0.367311431648552,0.013748608458571,-0.12817005153767,-0.031094969742079,-0.00449628101842859,-0.0388701266246994,-0.0620722607619848
"1",0.173370265960067,0.664814973014196,0.0193420315927021,0.063215546134036,0.062783472196425,0.22696430724865,-0.0428385596492968,-0.0670930816754628,-0.0150824561133395,0.00578040513138599
"2",0.212662670415281,0.632138595864568,0.0235104094803509,0.270307519144635,0.012797781349968,0.00731567598886885,-0.02676378419893,-0.0420668066314504,-0.0312482582185268,0.290273246695389
"3",0.154532785077937,0.645823183434993,0.0266657905868743,0.0534812362280188,0.051923967104756,0.193295322337485,-0.020715789698732,-0.0252155146816483,-0.0162096358132728,0.0661874186480875
"4",0.216253515761225,0.659544380771345,0.0247923439719839,0.219635556725343,0.000731397582758249,0.0459867704653926,-0.0396587900516222,-0.0133279999392923,0.0137469945597417,-0.00831207941313972
"5",0.166399897143274,0.646278191049228,0.00796009148765155,0.0717746478686334,0.0457511524109367,0.18844452849738,-0.0256856130314838,-0.027592528612747,-0.0349429884851782,0.275510138851584
"6",0.335496689843485,0.0911783685467844,0.406204982837503,-0.00242164757734603,0.427581956122439,-0.0471426602288273,-0.109895315482602,-0.151997499212067,-0.112832571791427,-0.107627783410383
"7",0.178555697555288,0.657744439821992,-0.0254602270489393,0.15442647421291,-0.00549276523723786,0.157127926659551,-0.0273047470692403,-0.0622476001150621,-0.030193768439268,0.421364947496677
"8",0.172625765040393,0.656689565198113,0.0244194485395978,0.0583094244416746,0.0427783948536206,0.19618701611377,-0.0195274772023978,-0.0393777177375155,-0.0176859349126686,0.0422152133405214
"9",0.1937408501898,0.595761020428173,0.0268603055043198,0.195839008578724,0.0115190434607541,-0.00149417418819631,-0.0225714363532529,0.0236864401961045,0.00238271358688116,-0.010723019849389
"10",0.146274501314017,0.59884962062947,-0.0248011562780501,0.0696177587591923,0.00771254590830543,0.19529571242205,-0.0193621930063955,-0.0180168729961943,0.0228260318984027,-0.0784085269620649
"11",0.151544044367574,0.670075975480224,-0.0456556023478725,0.142215249409799,-0.0100614388889522,0.106977143601906,-0.0398096132122192,-0.0156382054345567,0.0747428833775798,-0.0452395230050255
"12",0.216772766647512,0.647442461167296,0.0101435730317727,0.157686723667374,-0.00533897255221147,0.138772291794819,-0.0621249117617045,-0.0679212781238897,0.051724536916557,-0.114664448019183
"13",0.243953883641028,0.315894937690718,0.0896575246236424,0.0777981151565492,0.0922569410973612,0.0166671241605855,-0.0500654209932165,-0.0440032900108301,-0.058804876909233,-0.016274917104863
"14",0.15413046310582,0.65441028654132,-0.0474445148317872,0.182753255618517,-0.0333342309519678,0.0659386915813703,0.00377672268343478,-0.00253613581515585,0.0193819967761441,0.120925441437947
"15",-0.0434580785562347,0.520967291037227,-0.178010891577932,0.101535960259579,-0.0807267827490937,0.0802371660095429,-0.00240960622031398,0.0883762855355864,-0.0210277289473617,-0.0513896293852227
