"signature","feature","gene_set","n_gene","agg","level","rho","p_val","n","herv_pct","gene_set_pct","p_adj"
1,"HARLEQUIN-6p21.31","IL4R",1,"mean","donor",0.675303643724696,2.40454146570308e-06,39,0.170766865270037,0.316355948491255,2.40454146570308e-06
2,"HARLEQUIN-6p21.31","STAT3",1,"mean","donor",0.260526315789474,0.109188290066009,39,0.170766865270037,0.379684797232366,0.109188290066009
3,"HARLEQUIN-6p21.31","HCK",1,"mean","donor",0.524898785425101,0.00060213956276373,39,0.170766865270037,0.381895060541995,0.00060213956276373
4,"HARLEQUIN-6p21.31","ADGRE2",1,"mean","donor",0.673886639676113,2.57064637604204e-06,39,0.170766865270037,0.184989429175476,2.57064637604204e-06
5,"HARLEQUIN-6p21.31","FGD2",1,"mean","donor",0.132591093117409,0.421020155542035,39,0.170766865270037,0.413991927734,0.421020155542035
6,"HARLEQUIN-6p21.31","ALOX5",1,"mean","donor",0.578744939271255,0.000113593207846822,39,0.170766865270037,0.449452239092831,0.000113593207846822
7,"HARLEQUIN-6p21.31","ADAP2",1,"mean","donor",-0.0852226720647773,0.605966419411407,39,0.170766865270037,0.321064770324813,0.605966419411407
8,"HARLEQUIN-6p21.31","SH2B3",1,"mean","donor",0.00364372469635628,0.982436187981403,39,0.170766865270037,0.291082068037671,0.982436187981403
1,"HERVW-15q21.2","ITGAX",1,"mean","donor",0.326923076923077,0.0422136162884888,39,0.0437247741687488,0.402460119162022,0.0422136162884888
2,"HERVW-15q21.2","LPAR5",1,"mean","donor",0.377125506072874,0.0179498348237367,39,0.0437247741687488,0.195656352104555,0.0179498348237367
3,"HERVW-15q21.2","PLD1",1,"mean","donor",0.125303643724696,0.447216091136786,39,0.0437247741687488,0.298385546799923,0.447216091136786
4,"HERVW-15q21.2","RASGEF1C",1,"mean","donor",0.37246963562753,0.0195373490889448,39,0.0437247741687488,0.378627714779935,0.0195373490889448
5,"HERVW-15q21.2","FGD2",1,"mean","donor",0.178744939271255,0.276268111826339,39,0.0437247741687488,0.413991927734,0.276268111826339
6,"HERVW-15q21.2","ADAP2",1,"mean","donor",0.35748987854251,0.0254634598410762,39,0.0437247741687488,0.321064770324813,0.0254634598410762
