"signature","feature","gene_set","n_gene","agg","level","rho","p_val","n","herv_pct","gene_set_pct","p_adj","celltype"
1,"HERVW-15q21.2","GLDN",1,"mean","cell",0.941345589212106,0,21420,0.000466853408029879,0.0140056022408964,0,"Astro"
1,"HML1-1q32.1","ABCC9",1,"mean","cell",0.21577644623378,4.54326668750429e-224,21420,0.0485527544351074,0.294257703081233,4.54326668750429e-224,"Astro"
1,"HML4-16p13.3","MTR",1,"mean","cell",0.256423473160395,1.00411925598192e-318,21420,0.101960784313725,0.229458450046685,1.00411925598192e-318,"Astro"
1,"HERVW-15q21.2","GLDN",1,"mean","cell",0.0837512210085692,2.76027082831698e-115,73998,0.0632719803237925,0.559366469364037,2.76027082831698e-115,"Oligo"
1,"HML1-1q32.1","ABCC9",1,"mean","cell",-0.679575597801839,0,73998,0.0116354496067461,0.00458120489742966,0,"Oligo"
1,"HML4-16p13.3","MTR",1,"mean","cell",0.299529025384825,0,73998,0.0563528744020109,0.241074083083327,0,"Oligo"
1,"HERVW-15q21.2","GLDN",1,"mean","cell",0.910337162403002,0,12865,7.77302759424796e-05,0.0133696074621065,0,"OPC"
1,"HML1-1q32.1","ABCC9",1,"mean","cell",0.564461674924905,0,12865,0.0286047415468325,0.00730664593859308,0,"OPC"
1,"HML4-16p13.3","MTR",1,"mean","cell",0.199407589881233,1.63115314799579e-115,12865,0.0751651768363778,0.295685969685192,1.63115314799579e-115,"OPC"
1,"HERVW-15q21.2","GLDN",1,"mean","cell",0.669871650211269,0,58390,0.00522349717417366,0.113769481075527,0,"Excit"
1,"HML1-1q32.1","ABCC9",1,"mean","cell",0.635348607668277,0,58390,0.053519438259976,0.0731460866586744,0,"Excit"
1,"HML4-16p13.3","MTR",1,"mean","cell",0.0755927569542614,9.57718584188047e-75,58390,0.147833533139236,0.40118170919678,9.57718584188047e-75,"Excit"
1,"HERVW-15q21.2","GLDN",1,"mean","cell",0.625666575356573,0,27314,0.00626052573771692,0.11067584388958,0,"Inhib"
1,"HML1-1q32.1","ABCC9",1,"mean","cell",-0.598735443064385,0,27314,0.0560884528080838,0.00735886358643919,0,"Inhib"
1,"HML4-16p13.3","MTR",1,"mean","cell",0.0685881563765833,7.55537904703994e-30,27314,0.12037782821996,0.394047008859925,7.55537904703994e-30,"Inhib"
1,"HERVW-15q21.2","GLDN",1,"mean","cell",0.592671058041922,6.27176673059534e-248,2616,0.00114678899082569,0.0301987767584098,6.27176673059534e-248,"Endo"
1,"HML1-1q32.1","ABCC9",1,"mean","cell",0.292410161369697,9.77926201828932e-53,2616,0.0237003058103976,0.264908256880734,9.77926201828932e-53,"Endo"
1,"HML4-16p13.3","MTR",1,"mean","cell",0.361709534316282,1.09950173435491e-81,2616,0.0523700305810398,0.174311926605505,1.09950173435491e-81,"Endo"
1,"HERVW-15q21.2","GLDN",1,"mean","cell",0.290426555800976,2.25247073703361e-201,10406,0.0437247741687488,0.445608302902172,2.25247073703361e-201,"Mic"
1,"HML1-1q32.1","ABCC9",1,"mean","cell",0.0585744672159414,2.2370513392649e-09,10406,0.0103786277147799,0.00394003459542572,2.2370513392649e-09,"Mic"
1,"HML4-16p13.3","MTR",1,"mean","cell",0.309078466186789,3.68615694614578e-229,10406,0.0483374975975399,0.229771285796656,3.68615694614578e-229,"Mic"
